Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4
Ans1,1. 近期國際間麻疹疫情持續發生，國內亦陸續出現境外移入病例之接觸者確診感染。麻疹的英文是？(**205),Measles ,Herpes ,Polio ,Leprosy
Ans1,2. 承上題，因應近期醫院內麻疹群聚感染事件，全院員工快速接種 MMR 疫苗。請問疫苗的醫護術語是？(**162),Vaccine ,Vaginitis ,Treatment ,Enterorrhagia
Ans4,3. 一般出院病歷摘要通常包含主訴、病史、體檢發現、併發症、出院指示與用藥等資訊，其中『主訴』是指？(**30),Complications ,Laboratory ,Radiology ,Chief Complaint
Ans1,4. 健保署發現部分醫院執行達文西手術疑似申報異常，認為不可以用腹腔鏡手術來申報。腹腔鏡的英文是？(**56),Laparoscopic .,Tomotherapy,Catheterization ,Ablation
Ans2,5. 肺癌、腫瘤壓迫呼吸道、心臟衰竭、貧血或肺部感染等都有可能引起呼吸困難，其中『呼吸困難』常用字彙為下列何者？(**47),Croupy ,Dyspnea ,Asthma ,Influenza
Ans3,6. 駐外醫療團名醫結腸直腸癌開刀，提醒大家注意早期症狀。結腸直腸癌的英文是？(**54),Epilepsy ,Leukemia,Colorectal carcinoma ,Septicemia
Ans2,7. 承上題，大腸癌患者確診常需要執行結腸鏡檢查，結腸鏡檢查的英文是？(**55),Gastroscopy ,Colonoscopy,Arthroscopy ,Transesophageal Echocardiography
Ans2,8. 在精神科臨床檢查中對於病患情感描述時，所使用的「Anxiety」是指？ (**173),冷漠 ,焦慮 ,憂鬱 ,漠不關心
Ans1,9. 以下關於全民健保資料庫的敘述何者錯誤？(*551),健保資料屬於衛生福利資料應用管理要點中的二級資料,健保資料的使用場所為衛生福利資料科學中心暨研究分中心獨立作業區,健保資料申請核准後，使用期限為三年。,應用健保資料進行研究，仍需通過倫理委員會(IRB)審查
Ans2,"10. 我們常在遊戲界聽到某支新遊戲要開放給玩家「封測」或「公測」，即使用者在實際環境下測試，請問此階段的測試是屬於下列哪種測試？(*219, 時事題)",α 測試 ,β 測試 ,γ 測試 .,以上皆非
Ans4,11. 資訊安全的目標有所謂的 C.I.A.三原則，是指下列何者？(*137),防火牆、虛擬私有網路和認證中心,保護資料、系統和設備不要被駭客攻擊,資料的加密、解密和密鑰管理,保護資料及系統資源的機密性、整體性和可取用性
Ans1,12. 臺灣健康雲計畫中，以民眾就醫紀錄為主軸，包括電子病歷交換中心、健保雲端藥歷系統和民眾健康存摺是哪一朵雲？(*32),醫療雲 ,照護雲 ,保健雲 ,防疫雲
Ans2,13. 依據衛生福利部在電子病歷推動專區的加速推動電子病歷發展藍圖，106 年至 109 年的發展願景為何？(*30),建立健康資訊應用之基礎環境，推動健康資訊之創新應用,發展個人化之健康紀錄與加值應用,全面運用電子病歷提升醫療服務品質,建立以病人為中心且可跨院交換的電子病歷
Ans2,14. 在檢驗資訊系統中，可自動將病人的檢驗結果與病人過去相同的檢驗結果做比較，計算是否有特別減少或增加的現象，異常時以特別顏色顯示提醒。請問這是下列何種比對？(*337),區間值比對(Reference Check) ,前後值比對(Delta Check),危險值比對(Panic Check) ,標準值比對(Standard Value Check)
Ans1,15. 臨床藥學專家將藥物不良反應（ADR）的等級分為嚴重、中度、輕度三個等級，請問下列何者屬於嚴重的不良反應？(*367),會造成病人死亡或危及生命 ,會延長病人住院時間，且造成病人不舒服,僅延長病人住院時間 ..,僅造成病人不舒服
Ans2,16. 資訊系統發展的各個階段會產生不同文件，下列敘述何者正確？(*203-207),系統設計階段會產生初步設計規範書 ,系統分析階段會產生系統需求規格書,系統發展階段會產生系統規格說明書 ,系統推行階段會產生程式說明書
Ans3,17. 當醫院要導入新資訊系統的階段，必須保持舊資訊系統繼續正常運作。如要比較新、舊資訊系統間所產生數據的對應關係，應進行何種測試？(*220),整合測試 ,整體測試 ,平行測試 ,單元測試
Ans3,18. 三層式資料庫結構將資料庫綱要分為三層，下列哪一層用來描述實際的資料庫儲存結構和存取路徑的細部資料？(*84),外部層 ,概念層 ,內部層 ,實體層
Ans2,19. 醫院行政之主要任務中，營養管理及藥品管理是屬於下列哪一項運作？(*253),醫療事務 ,醫療照護 .,經營管理 ,財務系統
Ans4,20. 衛福部為推動分級醫療，自 106 年 4 月 15 日(星期六)開始實施新的規定，針對急診部分負擔：醫學中心急診檢傷分類下列那一級將從 450 元調至 550 元？(*290),第 1 級 .,第 1、2 級 ..,第 1、2、3 級 ,第 3、4、5 級
Ans3,21. 下列哪一種種健保支付制度優點是具有可提供強烈經濟誘因，促使醫療院所重視預防保健以降低醫療成本，而且支付與醫療服務量無關。(*261),總額預算 ,論量計酬 .,論人計酬 ,論日計酬
Ans1,22. 下列對於臨床路徑的敘述何者錯誤？(*262),醫院在因應論量計酬支付制度，臨床路徑乃是諸多管理措施中最廣為採用之利器。,臨床路徑是一種固定的治療建議模式，讓病人由住院到出院都依此模式的規範來接受治療。,醫院可藉由臨床路徑來控制整個醫療成本並維持或改進醫療的品質,臨床路徑希望找出最有成本效益的治療模式。
